ASV,s.No,s.Yes,index,stat,p.value,Domain,Phylum,Class,Order,Family,Genus,Species
b7fb7b8de1b4e013e7255cec428893a7,0,1,2,0.2430571,0.015,d__Bacteria, p__Verrucomicrobiota, c__Lentisphaeria, o__Victivallales, f__Victivallaceae, g__Victivallaceae, s__uncultured_rumen
f1eed35f2120791f6e64099efe94e60a,0,1,2,0.170353,0.04,d__Bacteria, p__Verrucomicrobiota, c__Lentisphaeria, o__Victivallales, f__Victivallaceae, g__Victivallaceae, s__uncultured_organism
23667231b1722eb51bc7ccfaa5e5c38a,0,1,2,0.2119996,0.005,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotellaceae_UCG-001, s__uncultured_bacterium
81e0038592511458bd454fcf0315f9cb,0,1,2,0.2763935,0.035,d__Bacteria, p__Firmicutes, c__Bacilli, o__RF39, f__RF39, g__RF39, s__metagenome
5a9d95281158334585eff783fb07d96b,0,1,2,0.2354426,0.01,d__Bacteria, p__Firmicutes, c__Bacilli, o__Erysipelotrichales, f__Erysipelotrichaceae, g__Faecalitalea, s__Faecalitalea_cylindroides
455cd7d5df48c77aedb33f14590d1e78,0,1,2,0.2279825,0.02,d__Bacteria, p__Firmicutes, c__Bacilli, o__Erysipelotrichales,NA,NA,NA
cbd66fa79a3e7fa1c33d29ed908de048,0,1,2,0.3271981,0.005,d__Bacteria, p__Firmicutes, c__Bacilli, o__Erysipelotrichales, f__Erysipelatoclostridiaceae, g__Catenibacterium,NA
97744fb3ab42a0e30592ca170a765fe1,0,1,2,0.2240627,0.035,d__Bacteria, p__Synergistota, c__Synergistia, o__Synergistales, f__Synergistaceae, g__Cloacibacillus, s__Cloacibacillus_porcorum
08986c038f55d9c810ee4d1ca9362808,0,1,2,0.183597,0.015,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Butyricicoccaceae, g__Butyricicoccus, s__uncultured_Firmicutes
83713a3eb71b0859dee317c4661550f8,0,1,2,0.2290107,0.045,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__uncultured, g__uncultured, s__uncultured_organism
bfab02a86c5187ed451db10d9b81b8d5,0,1,2,0.4198961,0.01,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__[Eubacterium]_ventriosum_group, s__uncultured_bacterium
9b695df7c620cdc44eb078b53cef23de,0,1,2,0.183597,0.02,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__[Eubacterium]_coprostanoligenes_group, g__[Eubacterium]_coprostanoligenes_group, s__Eubacterium_coprostanoligenes
898f2833fcd964a4cfae006e66bf10b6,0,1,2,0.183597,0.015,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Barnesiellaceae,NA,NA
eb4d4a2ab9748d90e1acc3ed4bec03e0,0,1,2,0.2898589,0.02,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Barnesiellaceae, g__Barnesiella, s__uncultured_bacterium
4fe5e0b2d61af0e16cef1293dd8ba1c8,0,1,2,0.2181019,0.025,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Marinifilaceae, g__Sanguibacteroides, s__Sanguibacteroides_justesenii
3f9fcc47fb363e0fdfa75dc56bb107f5,0,1,2,0.3029861,0.04,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Tannerellaceae, g__Parabacteroides, s__Parabacteroides_johnsonii
fb611fc9d5c2b599e68a648d1635ca10,0,1,2,0.1753696,0.045,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Tannerellaceae, g__Parabacteroides, s__Parabacteroides_faecis
9eae63f7b0a7a6d4ded443023b8c08f4,0,1,2,0.1814129,0.02,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__bacterium_New
023742f24e8a5d60386a77995564b5f7,0,1,2,0.2260126,0.035,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Ruminococcaceae, g__Ruminococcus, s__uncultured_rumen
