ASV,Lived on farm?,Stat,p-value,Domain,Phylum,Class,Order,Family,Genus,Species
b7fb7b8de1b4e013e7255cec428893a7,Yes,0.243,0.015,Bacteria, Verrucomicrobiota, Lentisphaeria, Victivallales, Victivallaceae, Victivallaceae, uncultured_rumen
f1eed35f2120791f6e64099efe94e60a,Yes,0.170,0.040,Bacteria, Verrucomicrobiota, Lentisphaeria, Victivallales, Victivallaceae, Victivallaceae, uncultured_organism
23667231b1722eb51bc7ccfaa5e5c38a,Yes,0.212,0.005,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotellaceae_UCG-001, uncultured_bacterium
81e0038592511458bd454fcf0315f9cb,Yes,0.276,0.035,Bacteria, Firmicutes, Bacilli, RF39, RF39, RF39, metagenome
5a9d95281158334585eff783fb07d96b,Yes,0.235,0.010,Bacteria, Firmicutes, Bacilli, Erysipelotrichales, Erysipelotrichaceae, Faecalitalea, Faecalitalea_cylindroides
455cd7d5df48c77aedb33f14590d1e78,Yes,0.228,0.020,Bacteria, Firmicutes, Bacilli, Erysipelotrichales,NA,NA,NA
cbd66fa79a3e7fa1c33d29ed908de048,Yes,0.327,0.005,Bacteria, Firmicutes, Bacilli, Erysipelotrichales, Erysipelatoclostridiaceae, Catenibacterium,NA
97744fb3ab42a0e30592ca170a765fe1,Yes,0.224,0.035,Bacteria, Synergistota, Synergistia, Synergistales, Synergistaceae, Cloacibacillus, Cloacibacillus_porcorum
08986c038f55d9c810ee4d1ca9362808,Yes,0.184,0.015,Bacteria, Firmicutes, Clostridia, Oscillospirales, Butyricicoccaceae, Butyricicoccus, uncultured_Firmicutes
83713a3eb71b0859dee317c4661550f8,Yes,0.229,0.045,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, uncultured, uncultured, uncultured_organism
bfab02a86c5187ed451db10d9b81b8d5,Yes,0.420,0.010,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae, [Eubacterium]_ventriosum_group, uncultured_bacterium
9b695df7c620cdc44eb078b53cef23de,Yes,0.184,0.020,Bacteria, Firmicutes, Clostridia, Oscillospirales, [Eubacterium]_coprostanoligenes_group, [Eubacterium]_coprostanoligenes_group, Eubacterium_coprostanoligenes
898f2833fcd964a4cfae006e66bf10b6,Yes,0.184,0.015,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Barnesiellaceae,NA,NA
eb4d4a2ab9748d90e1acc3ed4bec03e0,Yes,0.290,0.020,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Barnesiellaceae, Barnesiella, uncultured_bacterium
4fe5e0b2d61af0e16cef1293dd8ba1c8,Yes,0.218,0.025,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Marinifilaceae, Sanguibacteroides, Sanguibacteroides_justesenii
3f9fcc47fb363e0fdfa75dc56bb107f5,Yes,0.303,0.040,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Tannerellaceae, Parabacteroides, Parabacteroides_johnsonii
fb611fc9d5c2b599e68a648d1635ca10,Yes,0.175,0.045,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Tannerellaceae, Parabacteroides, Parabacteroides_faecis
9eae63f7b0a7a6d4ded443023b8c08f4,Yes,0.181,0.020,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, bacterium_New
023742f24e8a5d60386a77995564b5f7,Yes,0.226,0.035,Bacteria, Firmicutes, Clostridia, Oscillospirales, Ruminococcaceae, Ruminococcus, uncultured_rumen
