From the rep-seqs.qzv,,,,,,,,,,,,,
ASV,Lived on farm?,Indicator Value (IV),p,Domain,Phylum,Class,Order,Family,Genus,Species,,,
b7fb7b8de1b4e013e7255cec428893a7,Yes,0.243,0.015,Bacteria, Verrucomicrobiota, Lentisphaeria, Victivallales, Victivallaceae, Victivallaceae, uncultured_rumen,,,
23667231b1722eb51bc7ccfaa5e5c38a,Yes,0.212,0.020,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotellaceae_UCG-001, uncultured_bacterium,,,
81e0038592511458bd454fcf0315f9cb,Yes,0.276,0.045,Bacteria, Firmicutes, Bacilli, RF39, RF39, RF39, metagenome,,,
5a9d95281158334585eff783fb07d96b,Yes,0.235,0.010,Bacteria, Firmicutes, Bacilli, Erysipelotrichales, Erysipelotrichaceae, Faecalitalea, Faecalitalea_cylindroides,,,
455cd7d5df48c77aedb33f14590d1e78,Yes,0.228,0.015,Bacteria, Firmicutes, Bacilli, Erysipelotrichales,NA,NA,NA,,,
cbd66fa79a3e7fa1c33d29ed908de048,Yes,0.327,0.015,Bacteria, Firmicutes, Bacilli, Erysipelotrichales, Erysipelatoclostridiaceae, Catenibacterium,NA,,,
397472f7fa6ee755f3f41a4c74f59f54,Yes,0.215,0.025,Bacteria, Firmicutes, Clostridia, Christensenellales, Christensenellaceae, Christensenellaceae_R-7_group, bacterium_enrichment,,,
bfab02a86c5187ed451db10d9b81b8d5,Yes,0.420,0.005,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae, [Eubacterium]_ventriosum_group, uncultured_bacterium,,,
eb4d4a2ab9748d90e1acc3ed4bec03e0,Yes,0.290,0.015,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Barnesiellaceae, Barnesiella, uncultured_bacterium,,,
4fe5e0b2d61af0e16cef1293dd8ba1c8,Yes,0.218,0.045,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Marinifilaceae, Sanguibacteroides, Sanguibacteroides_justesenii,,,
3f9fcc47fb363e0fdfa75dc56bb107f5,Yes,0.303,0.030,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Tannerellaceae, Parabacteroides, Parabacteroides_johnsonii,,,
023742f24e8a5d60386a77995564b5f7,Yes,0.226,0.040,Bacteria, Firmicutes, Clostridia, Oscillospirales, Ruminococcaceae, Ruminococcus, uncultured_rumen,,,
,,,,,,,,,,,,,
NIH BLAST:,,,,,,,,,,,,,
ASV,Lived on farm?,Indicator Value (IV),p,Domain,Phylum,Class,Order,Family,Genus,Species,Percent Identity,GenBank ID,Column1
b7fb7b8de1b4e013e7255cec428893a7,Yes,0.243,0.015,Bacteria,Lentisphaerota,Lentisphaeria,Victivallales,Victivallaceae,Victivallis,Victivallis vadensis,100,OR537263.1,
23667231b1722eb51bc7ccfaa5e5c38a,Yes,0.212,0.020,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Prevotellaceae,,,95.62,ON258939.1,
81e0038592511458bd454fcf0315f9cb,Yes,0.276,0.045,Bacteria,Mycoplasmatota,,,,,,100,GU957101.1,
5a9d95281158334585eff783fb07d96b,Yes,0.235,0.010,Bacteria, Bacillota,Erysipelotrichia, Erysipelotrichales, Erysipelotrichaceae, Faecalitalea, Faecalitalea cylindroides,100,MT268999.1,
455cd7d5df48c77aedb33f14590d1e78,Yes,0.228,0.015,Bacteria, Firmicutes, Bacilli, Erysipelotrichales,NA,NA,NA,,KT288266.1,NR_146686.1
cbd66fa79a3e7fa1c33d29ed908de048,Yes,0.327,0.015,Bacteria,Lentisphaerota,Lentisphaeria,Victivallales,Victivallaceae,Victivallis,Victivallis vadensis,100,OR537263.1,
397472f7fa6ee755f3f41a4c74f59f54,Yes,0.215,0.025,Bacteria, Firmicutes, Clostridia, Christensenellales, Christensenellaceae, Christensenellaceae_R-7_group, bacterium_enrichment,98,KF741120.1,
bfab02a86c5187ed451db10d9b81b8d5,Yes,0.420,0.005,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae, [Eubacterium]_ventriosum_group, uncultured_bacterium,100,ON830715.1,
eb4d4a2ab9748d90e1acc3ed4bec03e0,Yes,0.290,0.015,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Barnesiellaceae, Barnesiella, uncultured_bacterium,,,
4fe5e0b2d61af0e16cef1293dd8ba1c8,Yes,0.218,0.045,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Marinifilaceae, Sanguibacteroides, Sanguibacteroides_justesenii,,,
3f9fcc47fb363e0fdfa75dc56bb107f5,Yes,0.303,0.030,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Tannerellaceae, Parabacteroides, Parabacteroides_johnsonii,,,
023742f24e8a5d60386a77995564b5f7,Yes,0.226,0.040,Bacteria, Firmicutes, Clostridia, Oscillospirales, Ruminococcaceae, Ruminococcus, uncultured_rumen,,,
