ASV;Species
217185aee687740c4fa3cc0aa17ee4ff;Catenibacterium mitsuokai
7b6007c32462b943453574331e4397d2;Catenibacterium mitsuokai ASV 2
c1f04ba7032338263b8a832af6f4c937;Uncultured Flavobacteriaceae 
3fc1e9026065d1a617b31068a1b2c7e9;Uncultured Flavobacteriaceae
7edada08bef8f3271b694a9cf4716000;Uncultured Flavobacteriaceae
0681937d15d01090c93f3fb99998d90c;Desulfovibrio piger
b3605f9c88d795522c4719140f30c78b;Desulfovibrio piger ASV 2
8764ec4ce1c6ca0dc38039e7e1751109;Desulfovibrio piger ASV 3
b153e0852342c0738da791930625716f;Holdemanellea biformis ASV 1
7c3a5ea9822bae13bf993bb6a039c50f;Holdemanellea biformis ASV 3
0f6200a5b77099113b52eea9a8645181;Holdemanellea biformis ASV 2
fc613984c6bd68a102eb7daee76a24a7;Holdemanellea biformis ASV 4
